::1 - - [19/Jan/2024:15:04:30 +0000] "GET /api/v1/product/all-products?page=1&ratings=0&limit=10&category=&subcategory=65aa6ff0961476f83fc20228&search=&minPrice=400&maxPrice= HTTP/1.1" 404 48 "-" "node"
::1 - - [19/Jan/2024:15:04:30 +0000] "GET /api/v1/user/refresh HTTP/1.1" 400 65 "-" "node"
::1 - - [19/Jan/2024:15:04:30 +0000] "GET /api/v1/user/me HTTP/1.1" 400 65 "-" "node"
::1 - - [19/Jan/2024:15:04:30 +0000] "GET /api/v1/banner/get-all-banners?bannerType=topBanner HTTP/1.1" 201 189 "-" "node"
::1 - - [19/Jan/2024:15:04:31 +0000] "GET /public/uploads/banners/1704785026883-banner-top.png HTTP/1.1" 200 897 "-" "node"
::1 - - [19/Jan/2024:15:04:33 +0000] "GET /api/v1/user/refresh HTTP/1.1" 200 205 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
::1 - - [19/Jan/2024:15:04:33 +0000] "GET /api/v1/user/me HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
::1 - - [19/Jan/2024:15:04:34 +0000] "GET /api/v1/category/category-subcategory HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
::1 - - [19/Jan/2024:15:04:34 +0000] "GET /public/uploads/users/1705050143067-120926404_413898222929480_2254540235409040586_n.jpg HTTP/1.1" 200 262400 "-" "node"
::1 - - [19/Jan/2024:15:04:34 +0000] "GET /api/v1/banner/get-all-banners HTTP/1.1" 201 1249 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
::1 - - [19/Jan/2024:15:04:34 +0000] "GET /public/uploads/banners/1705323049023-test.png HTTP/1.1" 200 16063 "-" "node"
::1 - - [19/Jan/2024:15:04:36 +0000] "GET /public/uploads/banners/1705324177172-test.png HTTP/1.1" 200 16063 "-" "node"
::1 - - [19/Jan/2024:15:04:38 +0000] "GET /public/uploads/banners/1705577810697-9b19f152-e405-4b0b-8fe0-d1234d57eae9.jpg_1200x1200.jpg HTTP/1.1" 200 136456 "-" "node"
::1 - - [19/Jan/2024:15:04:39 +0000] "GET /api/v1/banner/get-all-banners?bannerType=topBanner HTTP/1.1" 201 189 "-" "node"
::1 - - [19/Jan/2024:15:04:40 +0000] "GET /public/uploads/products/1704468990890-khejur-3.png HTTP/1.1" 200 7227 "-" "node"
::1 - - [19/Jan/2024:15:04:40 +0000] "GET /public/uploads/products/1704451583996-khejur-3.png HTTP/1.1" 200 7227 "-" "node"
::1 - - [19/Jan/2024:15:04:42 +0000] "GET /api/v1/user/refresh HTTP/1.1" 200 205 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
::1 - - [19/Jan/2024:15:04:42 +0000] "GET /api/v1/user/me HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
